ID Geography,Geography,Adult Obesity (2014),Adult Obesity (2015),Adult Obesity (2016),Adult Obesity (2017),Adult Obesity (2018),Air Pollution (2014),Air Pollution (2015),Air Pollution (2016),Air Pollution (2017),Air Pollution (2018),Average Age (2014),Average Age (2015),Average Age (2016),Average Age (2017),Average Age (2018),Average Age Appx MOE (2014),Average Age Appx MOE (2015),Average Age Appx MOE (2016),Average Age Appx MOE (2017),Average Age Appx MOE (2018),Average Income (2014),Average Income (2015),Average Income (2016),Average Income (2017),Average Income (2018),Average Income Appx MOE (2014),Average Income Appx MOE (2015),Average Income Appx MOE (2016),Average Income Appx MOE (2017),Average Income Appx MOE (2018),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018)
04000US44,Rhode Island,0.25999999,0.261999995,0.263999999,0.270999998,0.272000015,10.27999973,10.27999973,10.27999973,7.599999905,7.599999905,39.80878207,39.73907647,40.06255526,40.02048245,40.41650312,0.551929692,0.552325407,0.552622316,0.550684055,0.55423395,30784.16662,32037.2467,32908.58038,34875.57652,35350.1673,1153.526493,1168.283287,1261.171374,1296.134392,1277.155538,1051511,1055173,1056298,1056426,1059639,1057315
04000US13,Georgia,0.284999996,0.287,0.289999992,0.296000004,0.301999986,12.77999973,12.77999973,12.77999973,10.10000038,10.10000038,36.56937117,36.76344091,36.99944997,37.25368903,37.44796142,0.172356498,0.171861374,0.171658125,0.171191814,0.17087381,25580.84931,26863.34682,28213.9935,29607.16698,31188.55342,344.2329971,367.1626831,379.7451429,402.0222885,416.2218569,9992167,10097343,10214860,10310371,10429379,10519475
04000US42,Pennsylvania,0.287999988,0.287999988,0.287999988,0.293000013,0.296000004,12.89999962,12.89999962,12.89999962,10.39999962,10.39999962,40.06900873,40.21118855,40.36783194,40.52725395,40.65732354,0.160347784,0.160915944,0.161356587,0.161437495,0.161564996,29251.0468,30452.48479,31211.71681,32810.38295,34031.76631,322.9747836,337.4258017,341.5055855,366.3757146,377.7607764,12773801,12787209,12802503,12784227,12805537,12807060
04000US15,Hawaii,0.223000005,0.224999994,0.221000001,0.223000005,0.223000005,,,,,,39.02837286,39.05534705,39.56907005,39.82994288,40.15321956,0.482471391,0.482486584,0.483108626,0.485529779,0.489342024,29887.5061,31397.44797,33018.3693,33731.14697,35336.72875,888.7136681,928.5526178,988.2345474,1029.336164,1104.477726,1404054,1419561,1431603,1428557,1427538,1420491
04000US72,Puerto Rico,,,,,,,,,,,39.54070387,40.06345897,40.68877413,41.26453467,42.19959576,0.303788718,0.308665347,0.311804027,0.316076185,0.323478511,11216.36826,11618.91796,11853.77542,12342.20008,12859.80499,276.5923703,324.1951543,293.1675977,328.4663704,324.1306156,3615086,3548397,3474182,3411307,3337177,3195153
04000US16,Idaho,0.26699999,0.273000002,0.27700001,0.280000001,0.286000013,10.06000042,10.06000042,10.06000042,7.199999809,7.199999809,36.89654223,37.05818615,37.27247882,37.47388003,37.75630085,0.446516329,0.444510919,0.443901739,0.439321893,0.43585122,24004.61734,24409.73002,25682.64325,26228.79206,27919.99912,777.8640813,769.949253,850.3376219,821.5331998,861.9195317,1612136,1634464,1654930,1683140,1716943,1754208
04000US40,Oklahoma,0.32100001,0.321999997,0.324000001,0.326999992,0.331999987,10.32999992,10.32999992,10.32999992,9.199999809,9.199999809,37.40873831,37.51965056,37.58972398,37.74687702,37.87721144,0.28864001,0.288492512,0.288977056,0.288601128,0.289399286,25278.78958,25987.1705,26155.44148,26286.88472,28116.95482,520.0661536,561.014287,536.9664875,540.9081834,595.359447,3850568,3878051,3911338,3923561,3930864,3943079
04000US17,Illinois,0.27700001,0.273000002,0.273999989,0.273000002,0.280000001,12.53999996,12.53999996,12.53999996,10.44999981,10.44999981,37.94835442,38.15174337,38.40283789,38.62901129,38.84990692,0.15584846,0.156486614,0.157572262,0.157983784,0.158910327,30576.80736,31823.59071,32932.0302,33998.3873,35647.93703,356.9106575,381.8059306,387.1106655,401.3652208,419.448479,12882135,12880580,12859995,12801539,12802023,12741080
04000US39,Ohio,0.300999999,0.301999986,0.305000007,0.31400001,0.316000015,13.48999977,13.48999977,13.48999977,11.30000019,11.30000019,39.05513619,39.21611768,39.35226732,39.4711291,39.6484425,0.167686761,0.167948762,0.16835687,0.16843381,0.168692188,26894.92589,28070.6908,29144.53534,30127.10124,31584.94024,300.5409688,321.39015,334.8499952,341.2758823,364.8772018,11570808,11594163,11613423,11614373,11658609,11689442
04000US18,Indiana,0.31400001,0.312999994,0.31400001,0.317000002,0.319999993,13.52999973,13.52999973,13.52999973,11.10000038,11.10000038,37.83197145,37.9817674,38.14381266,38.29444512,38.47041862,0.220696593,0.220503817,0.221391295,0.221258702,0.221149395,25248.37346,26437.2505,27501.28882,28224.28091,29457.81099,380.0608639,413.6803954,423.8615419,415.080963,451.1865847,6570902,6596855,6619680,6633053,6666818,6691878
04000US38,North Dakota,0.296000004,0.294999987,0.301999986,0.31099999,0.317999989,10.01000023,10.01000023,10.01000023,7.5,7.5,37.35287945,37.41825378,37.51933695,37.75016713,37.71465786,0.667169663,0.659096279,0.65919437,0.662745186,0.660581961,32389.47774,33800.56887,32682.2948,33719.34738,35993.64506,1522.950735,1520.395314,1395.960539,1445.680684,1520.577931,723393,739482,756928,757953,755393,760077
04000US19,Iowa,0.294999987,0.298999995,0.307000011,0.312999994,0.317999989,10.85000038,10.85000038,10.85000038,9.600000381,9.600000381,38.72854368,38.83829311,38.91666839,38.90350735,39.07178504,0.32885854,0.329372236,0.329016862,0.328850812,0.329353405,28430.14938,29018.00387,30341.08028,30953.90686,31576.53665,607.5064583,617.5685894,637.4724423,627.524029,648.3439796,3090416,3107126,3123899,3134693,3145711,3156145
04000US37,North Carolina,0.289999992,0.289999992,0.291000009,0.296999991,0.296000004,12.32999992,12.32999992,12.32999992,9.050000191,9.050000191,38.20797521,38.42669118,38.69224478,38.86136378,39.10119496,0.177775903,0.177305981,0.176924003,0.176213721,0.176000291,25856.36052,26837.67283,28190.77312,29533.72011,30725.92727,340.9264017,354.6651944,372.5579521,379.3648398,390.6433683,9848060,9943964,10042802,10146788,10273419,10383620
04000US20,Kansas,0.30399999,0.303000003,0.301999986,0.307999998,0.324000001,10.85000038,10.85000038,10.85000038,8.5,8.5,37.37705857,37.623083,37.69496772,37.94803549,38.14321435,0.336779723,0.336758859,0.338554319,0.338650986,0.33893746,27854.26011,29241.23835,28936.07205,30312.84906,31367.47247,677.2270294,703.5357827,653.1811546,703.0172677,743.6477428,2893957,2904021,2911641,2907289,2913123,2911510
04000US36,New York,0.245000005,0.241999999,0.240999997,0.246000007,0.25,11.68000031,11.68000031,11.68000031,8.600000381,8.600000381,38.69776672,38.86280902,39.05693464,39.34784973,39.62166084,0.126113244,0.126118963,0.126932185,0.127054762,0.128564863,33292.71841,34427.08042,35405.19543,37157.92734,38917.19603,345.9838213,363.5612441,362.4110841,384.3953173,399.3905855,19651127,19746227,19795791,19745289,19849399,19542209
04000US21,Kentucky,0.324999988,0.32100001,0.323000014,0.328999996,0.337000012,13.47000027,13.47000027,13.47000027,10,10,38.46229883,38.70955881,38.71697896,38.86620774,39.08758993,0.26837527,0.268573355,0.26907565,0.269718645,0.270548755,23879.26208,25222.42515,26047.12713,26627.37441,27893.91985,437.1994153,502.0592034,514.540488,516.4771101,536.8846067,4395295,4413457,4425092,4436974,4454189,4468402
04000US35,New Mexico,0.234999999,0.234999999,0.236000001,0.239999995,0.244000003,9.949999809,9.949999809,9.949999809,6.400000095,6.400000095,37.99462593,38.24397621,38.63273547,38.70196785,39.19482511,0.395622766,0.398512225,0.397580111,0.399029655,0.400228444,23341.30338,24166.55303,25123.85819,25313.832,26285.69846,637.8193341,666.5622124,693.2602098,681.9322817,759.0318723,2085287,2085572,2085109,2081015,2088070,2095428
04000US22,Louisiana,0.340000004,0.340999991,0.342999995,0.344999999,0.347000003,10.82999992,10.82999992,10.82999992,9.5,9.5,37.23429525,37.48253804,37.6594725,37.88575449,38.16547396,0.258910204,0.260340218,0.260457904,0.261243537,0.263223128,24843.97106,25424.22816,25823.53358,26010.45294,27375.72766,478.6448828,492.9232324,514.9691744,492.4239441,532.1090661,4625470,4649676,4670724,4681666,4684333,4659978
04000US34,New Jersey,0.245000005,0.244000003,0.246999994,0.256000012,0.259000003,11.26000023,11.26000023,11.26000023,9.800000191,9.800000191,38.91053599,39.07707535,39.24241316,39.45688437,39.67869646,0.18822747,0.188391067,0.189322944,0.188827762,0.190929313,36468.96279,37416.80236,38845.00227,40627.22391,42964.13471,508.3162971,531.5172794,538.2041286,570.3330484,608.5691299,8899339,8938175,8958013,8944469,9005644,8908520
04000US23,Maine,0.277999997,0.279000014,0.279000014,0.282000005,0.289999992,10.27999973,10.27999973,10.27999973,7.400000095,7.400000095,41.83922129,42.19439897,42.11919227,42.42532077,42.98052307,0.493107957,0.495200735,0.498264672,0.498791683,0.497244733,28049.88079,28414.09886,29567.58153,30838.04568,32419.63906,902.3392793,893.3771192,919.2720984,971.7918121,944.345427,1328302,1330089,1329328,1331479,1335907,1338404
04000US33,New Hampshire,0.268999994,0.270999998,0.273000002,0.279000014,0.279000014,10.47999954,10.47999954,10.47999954,7.75,7.75,40.4509882,40.82892633,41.05944156,41.35270983,41.45882587,0.485079103,0.485511356,0.488114102,0.487721232,0.487351415,34680.42861,35962.09122,36669.84119,38328.50237,39197.78479,1090.186889,1119.342008,1107.5924,1162.629549,1237.568786,1323459,1326813,1330608,1334795,1342795,1356458
04000US24,Maryland,0.280999988,0.284000009,0.284000009,0.289000005,0.291999996,12.53999996,12.53999996,12.53999996,9.5,9.5,38.21914789,38.38052205,38.62510565,38.85911631,39.03841682,0.227105344,0.227007372,0.22837864,0.227858395,0.229305406,36341.49469,37762.78966,38550.89628,40124.1792,41838.97497,566.0773046,604.8959867,597.1542204,625.8548701,650.1537443,5928814,5976407,6006401,6016447,6052177,6042718
04000US32,Nevada,0.25,0.246999994,0.254000008,0.268000007,0.268000007,12.47000027,12.47000027,12.47000027,5.900000095,5.900000095,37.79461195,38.05940063,38.22957608,38.42926326,38.65594294,0.328514627,0.326891669,0.325604419,0.322611553,0.322129184,26015.31508,26822.81968,28181.59866,30117.40331,31790.7888,588.7493721,635.1974298,664.4945012,731.600741,781.813725,2790136,2839099,2890845,2940058,2998039,3034392
04000US25,Massachusetts,0.238000005,0.238999993,0.237000003,0.240999997,0.243000001,10.47999954,10.47999954,10.47999954,8.600000381,8.600000381,39.28877897,39.44690836,39.6220403,39.79085192,39.92763869,0.215535847,0.215121721,0.215399435,0.215018561,0.214668381,37529.06515,38196.42429,39733.95847,41926.48685,43351.28717,597.6895652,599.0897422,602.7834211,637.621793,670.6775161,6692824,6745408,6794422,6811779,6859819,6902149
04000US31,Nebraska,0.293000013,0.291999996,0.294999987,0.298000008,0.307000011,12.07999992,12.07999992,12.07999992,8.199999809,8.199999809,37.41860151,37.5146056,37.68315614,37.77876032,37.92913945,0.418605052,0.417936418,0.418375081,0.417221508,0.416405726,27479.45526,29119.01114,30027.04062,30542.17237,31453.77215,705.3066291,813.2114548,831.905302,822.2435163,875.980408,1868516,1881503,1896190,1907116,1920076,1929268
04000US26,Michigan,0.316000015,0.316000015,0.31400001,0.31400001,0.312999994,11.48999977,11.48999977,11.48999977,8.699999809,8.699999809,39.14382338,39.29560519,39.47626472,39.68072719,39.83203529,0.180679696,0.180932706,0.181397226,0.181492666,0.181761645,26650.06738,27743.0273,29137.98101,30411.4715,31440.8126,323.3070193,345.8109339,369.209442,383.6438829,392.6771293,9895622,9909877,9922576,9928300,9962311,9995915
04000US30,Montana,0.245000005,0.245000005,0.246000007,0.25,0.25,10.90999985,10.90999985,10.90999985,6.199999809,6.199999809,39.64519299,39.91916542,40.02349787,40.09068314,40.58384174,0.570613567,0.569416075,0.568632141,0.565995028,0.564530115,26286.21713,27950.72937,28226.38732,29906.44047,30487.1599,967.1537112,1060.446482,1131.575727,1135.920672,1108.751623,1015165,1023579,1032949,1042520,1050493,1062305
04000US27,Minnesota,0.25999999,0.259000003,0.263000011,0.270000011,0.273000002,12.02999973,12.02999973,12.02999973,9.300000191,9.300000191,38.20595187,38.40752303,38.56953593,38.63524445,38.78619288,0.242094379,0.242690268,0.242782505,0.242222411,0.242079228,32634.58136,33661.57006,34847.0616,35944.1087,37092.51681,538.7682631,564.6863378,563.3015492,591.6004344,606.8691471,5420380,5457173,5489594,5519952,5576606,5611179
04000US29,Missouri,0.31099999,0.308999985,0.305999994,0.307999998,0.317999989,10.18999958,10.18999958,10.18999958,9.5,9.5,38.64240419,38.79833988,38.9554968,39.10425708,39.38259159,0.231426017,0.231931122,0.232260691,0.232613704,0.233311104,26310.03187,27604.69075,28626.55074,29469.19863,30641.67362,420.5160692,448.7472101,470.4962404,474.5871593,487.3547787,6044171,6063589,6083672,6093000,6113532,6126452
04000US28,Mississippi,0.356000006,0.352999985,0.352999985,0.351999998,0.352999985,12.15999985,12.15999985,12.15999985,9.5,9.5,37.43488599,37.63013642,37.83506886,38.12018196,38.31483159,0.32700111,0.328290011,0.329070175,0.33060987,0.3303891,20921.01566,21243.14963,23041.79294,23124.98023,24153.03756,493.572848,495.4343226,557.7326055,549.3895034,579.1993327,2991207,2994079,2992333,2988726,2984100,2986530
